Pelicula,Recomendaciones
Sky Line,"['Artifact', 'Floyd Norman: An Animated Life', 'The Primary Instinct', ""The Internet's Own Boy: The Story of Aaron Swartz"", 'Catwalk']"
VeggieTales: Where's God When I'm Scared,"['VeggieTales: Very Silly Songs', 'Jonah: A VeggieTales Movie', ""Azur & Asmar: The Princes' Quest"", 'The Life & Adventures of Santa Claus', 'Puss in Boots: The Three Diablos']"
"VeggieTales: Rack, Shack & Benny","['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
VeggieTales: Very Silly Songs,"[""VeggieTales: Where's God When I'm Scared"", 'Jonah: A VeggieTales Movie', 'The Express', ""Azur & Asmar: The Princes' Quest"", 'The Life & Adventures of Santa Claus']"
David Bowie & the Story of Ziggy Stardust,"['Buena Vista Social Club', 'The Decline of Western Civilization Part II: The Metal Years', 'Down from the Mountain', 'Imagine: John Lennon', ""Won't Anybody Listen""]"
Whitey,"['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
Jaco,"['Buena Vista Social Club', 'The Decline of Western Civilization Part II: The Metal Years', 'Down from the Mountain', 'Imagine: John Lennon', ""Won't Anybody Listen""]"
The Edge of Seventeen,"['Jerry Maguire', 'As Good as It Gets', 'Bottle Rocket', 'The War of the Roses', 'Say Anything...']"
Clinton Cash,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Symphony No. 42,"['Scooby-Doo! Legend of the Phantosaur', 'Alma', 'Thunder', 'Scooby-Doo! and the Monster of Mexico', 'Scooby-Doo! Pirates Ahoy!']"
'Master Harold'... and the Boys,"['Carny', 'Sybil', 'The Big Red One', 'Escape to Victory', 'An Officer and a Gentleman']"
Detective Conan: The Fourteenth Target,"['The Outside Man', 'Cry in the Woods', 'The Unjust', 'Saving Mr. Wu', 'Last Known Address']"
Detective Conan: The Last Wizard of the Century,"['Sandakan No. 8', 'Lesson of the Evil', 'Detroit Metal City', ""A Taxing Woman's Return"", 'Tales of a Golden Geisha']"
The Last Brickmaker in America,"['Lonesome Dove Church', 'Miracle in Cell No. 7', 'Perfect Number', 'The Ramen Girl', ""White Lightnin'""]"
Anthropoid,"['Happy-Go-Lucky', 'A Sense of History', 'Megan Leavey', 'City 40', 'Lost in Munich']"
Blood Father,"['Tyson', 'What the Day Owes the Night', 'White Material', 'Route Irish', 'Stray Dogs']"
Free to Run,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Elle,"['Romantics Anonymous', 'Raw', 'Read My Lips', 'Rust and Bone', 'A Distant Neighborhood']"
The Little House,"['Tokyo Family', 'When the Last Sword Is Drawn', 'Chronicle of My Mother', 'Flowers of Shanghai', 'Hana']"
The Mobfathers,"['American Heart', 'Better Luck Tomorrow', 'Animal Factory', 'Monsieur Hire', 'Ghosts... of the Civil Dead']"
T.R. Baskin,"['Losing Isaiah', 'Mommie Dearest', 'True Colors', 'Bang the Drum Slowly', 'Regarding Henry']"
Medusa,"['Guerrilla: The Taking of Patty Hearst', 'Courage Mountain', 'The Admiral: Roaring Currents', 'Smart Ass', 'Lucia']"
The Life and Death of a Porno Gang,"['Cleopatra Wong', 'Circles', 'Bare Knuckles', 'The Professional', 'Hopscotch']"
Mr. Blue Sky: The Story of Jeff Lynne & ELO,"['Buena Vista Social Club', 'The Decline of Western Civilization Part II: The Metal Years', 'Down from the Mountain', 'Imagine: John Lennon', ""Won't Anybody Listen""]"
Meeting David Wilson,"['Planet Ocean', ""Waiting for 'Superman'"", 'It Came from Hollywood', 'One Direction: This Is Us', ""Angela's Ashes""]"
Liar Game: The Final Stage,"['If Cats Disappeared From the World', 'Flying Colors', 'Bakuman', 'S: The Last Policeman: Recovery of Our Future', 'I Just Wanna Hug You']"
Grandmaster,"['Aamir', 'Unnaipol Oruvan', 'Kai Po Che!', 'Khosla Ka Ghosla!', 'Raajneeti']"
The Days That Confused,"['Welcome to the Dollhouse', 'Trees Lounge', 'Bob Roberts', 'The Acid House', 'The Adventures of Sebastian Cole']"
Johan Falk: Kodnamn Lisa,"['Johan Falk: Kodnamn Lisa', 'Johan Falk: Barninfiltratören', 'Johan Falk: GSI - Gruppen för särskilda insatser', 'Johan Falk: Vapenbröder', 'Johan Falk: Operation Näktergal']"
Train to Busan,"['Pandora', 'Midnight Ride', 'Cold Eyes', 'Gozu', 'Aragami']"
Johan Falk: Organizatsija Karayan,"['Johan Falk: Alla råns moder', 'Johan Falk: Spelets regler', 'Johan Falk: National Target', 'Johan Falk: De 107 patrioterna', 'Johan Falk: Kodnamn Lisa']"
Johan Falk: Barninfiltratören,"['Johan Falk: Kodnamn Lisa', 'Johan Falk: Barninfiltratören', 'Johan Falk: GSI - Gruppen för särskilda insatser', 'Johan Falk: Vapenbröder', 'Johan Falk: Operation Näktergal']"
Johan Falk: Alla råns moder,"['Johan Falk: Alla råns moder', 'Johan Falk: Spelets regler', 'Johan Falk: National Target', 'Johan Falk: De 107 patrioterna', 'Johan Falk: Kodnamn Lisa']"
Johan Falk: Spelets regler,"['Johan Falk: Alla råns moder', 'Johan Falk: Spelets regler', 'Johan Falk: National Target', 'Johan Falk: De 107 patrioterna', 'Johan Falk: Kodnamn Lisa']"
Johan Falk: Leo Gaut,"['Johan Falk: Vapenbröder', 'Johan Falk: Operation Näktergal', 'Johan Falk: Leo Gaut', 'Johan Falk: De 107 patrioterna', 'Johan Falk: Kodnamn Lisa']"
Johan Falk: National Target,"['Johan Falk: Alla råns moder', 'Johan Falk: Spelets regler', 'Johan Falk: National Target', 'Johan Falk: De 107 patrioterna', 'Johan Falk: Kodnamn Lisa']"
The Hidden Child,"['Beck 04 - Öga för öga', 'Nick the Sting', 'The Left Hand of the Law', 'The Sunday Woman', 'The Hidden Child']"
Bazodee,"['The Idolmaker', 'Pure Country', 'Beauty and the Bastard', 'Guy and Madeline on a Park Bench', 'Shed No Tears']"
Breaking Glass,"['Slice', 'Chariots of Fire', 'Jigarthanda', 'Highway 61', 'All-Stars']"
The Sicilian Girl,"['Un fantastico via vai', 'I Am Love', 'Sacred Heart', 'The Working Class Goes to Paradise', 'Green Fish']"
King: A Filmed Record... Montgomery to Memphis,"[""The Devil's Widow"", 'Antique', 'Raging Bull', 'Rocky', 'Rocky II']"
We of the Never Never,"['Think Like a Man Too', 'Girls Trip', 'Snowtown', 'Night and Day', 'The Pearl Color']"
The Land,"['The Kings of Summer', 'My Blind Brother', 'Cowspiracy: The Sustainability Secret', 'My Entire High School Sinking Into the Sea', 'What the Health']"
Lie Detector,"[""L'associé"", 'Dream with the Fishes', 'All I Wanna Do', ""God Said, 'Ha!'"", 'Stiff Upper Lips']"
Pete Johansson: You Might Also Enjoy Pete Johansson,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
Hacking Democracy,"['Friends of God: A Road Trip with Alexandra Pelosi', 'An Apology to Elephants', 'Hello Ladies: The Movie', 'Amy Schumer: Live at the Apollo', ""Whitney Cummings: I'm Your Girlfriend""]"
Jamie Foxx: I Might Need Security,"[""L'associé"", 'Dream with the Fishes', 'All I Wanna Do', ""God Said, 'Ha!'"", 'Stiff Upper Lips']"
Godfrey: Black By Accident,"[""L'associé"", 'Dream with the Fishes', 'All I Wanna Do', ""God Said, 'Ha!'"", 'Stiff Upper Lips']"
Daisy Diamond,"['Silent Heart', 'Me and Charly', 'The Pearl Color', 'Gods', 'The Art of Loving. Story of Michalina Wislocka']"
"Siberia, Monamour","['The Pearl Color', 'Gods', 'The Art of Loving. Story of Michalina Wislocka', 'The Broken Landlord', 'Night and Day']"
Shades,"['Bread and Chocolate', ""Everybody's Famous!"", 'Dying of Laughter', 'What Will You Do When You Catch Me?', 'Welcome Back, Mr. McDonald']"
Sara,"['Angelus', 'Anioł w Krakowie', 'Lincz', 'All Will Be Well', 'These Daughters of Mine']"
Midnight Son,"['The Wrecking Crew', 'The East', 'Cyrus', 'Body of Lies', 'Aragami']"
Amateur Porn Star Killer 2,"['Anthony Zimmer', 'Homebodies', 'Exotica', 'The Rites of May', 'The Untold Story']"
Charlie & Boots,"['Miracle in Cell No. 7', 'Welcome to the Dollhouse', 'Trees Lounge', 'Bob Roberts', 'The Acid House']"
Dabbe: Bir cin vakasi,"['Autopsy', 'Two Evil Eyes', 'Habit', 'The Conspiracy', 'Undocumented']"
Road to Kabul,"['Lucky Break', 'The Wrong Guy', 'Drunken Tai Chi', 'Kung Phooey', 'My Wife Is a Gangster']"
Ice,"['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
Secret Smile,"['On the Run', 'Century of the Dragon', 'Who Killed Bambi?', 'Shifty', 'Monga']"
Porto,"['Country Life', 'Flirt', 'Venice', 'The Whole Wide World', 'Full Speed']"
I Wish I Knew,"['Cry Me a River', 'A Touch of Sin', 'The War Room', 'The Atomic Cafe', 'Inside Deep Throat']"
Tom Segura: Mostly Stories,"['Jim Jefferies: BARE', 'Chris Tucker Live', 'Jimmy Carr: Funny Business', 'Jim Jefferies: Freedumb', 'Tom Segura: Mostly Stories']"
The 9th Life of Louis Drax,"['Ghost', 'Doodlebug', 'They Might Be Giants', 'The Big Fix', 'Mystics in Bali']"
Dwayne Perkins: Take Note,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
Downhill,"[""L'associé"", 'Dream with the Fishes', 'All I Wanna Do', ""God Said, 'Ha!'"", 'Stiff Upper Lips']"
The Russian Woodpecker,"['Hell and Back Again', 'Afghan Star', 'The War Room', 'The Atomic Cafe', 'Inside Deep Throat']"
"Down the Deep, Dark Web","['Catwalk', 'Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream']"
The Rack Pack,"['Nuts in May', 'Wonderland', 'Magnificent 7', 'The Tenant of Wildfell Hall', 'The Trap: What Happened to Our Dream of Freedom']"
Love's Long Journey,"[""Love's Enduring Promise"", 'The Spirit of Christmas', 'Signed, Sealed, Delivered: The Impossible Dream', 'A Wish for Christmas', 'Love at the Thanksgiving Day Parade']"
Love Begins,"['The Professor and His Beloved Equation', 'The Christmas Secret', 'Turquaze', 'Love Begins', 'A Kiss at Midnight']"
Starchaser: The Legend of Orin,"['The Land Before Time XII: The Great Day of the Flyers', 'The Velveteen Rabbit', 'Monsters vs Aliens', 'The Cathedral', 'Zone of the Enders: Idolo']"
Brian Posehn: Criminally Posehn,"[""L'associé"", 'Dream with the Fishes', 'All I Wanna Do', ""God Said, 'Ha!'"", 'Stiff Upper Lips']"
Moonlight,"['Ginger & Rosa', 'The End of the Tour', 'Dabbe: Bir cin vakasi', 'The Big Short', 'A Mighty Heart']"
Big Fish & Begonia,"['Mojin: The Lost Legend', 'The Four', 'The Devotion of Suspect X', 'My Old Classmate', 'So Young']"
A Conspiracy of Faith,"['April 9th', 'A Second Chance', ""Help! I'm A Fish"", 'Accused', 'In Order of Disappearance']"
Naz & Maalik,"['Country Life', 'Flirt', 'Venice', 'The Whole Wide World', 'Full Speed']"
The League of Gentlemen's Apocalypse,"['Fry and Laurie Reunited', 'Blackadder Back & Forth', ""Mr. Bean's Holiday"", 'Billy Elliot: The Musical', 'Bean']"
Love Like Poison,"['A Good Marriage', 'The Son of Joseph', ""Claire's Knee"", 'Love in the Afternoon', 'Full Moon in Paris']"
Ghosts of Abu Ghraib,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Cosmos Laundromat,"['Big Buck Bunny', 'Sintel', 'Elephants Dream', 'The Deserted Station', 'Human']"
The Fifth Seal,"['Csontvary', 'Mephisto', 'The Little Fox', 'Son of the White Mare', 'The Deserters']"
Cardcaptor Sakura: The Movie,"['Cardcaptor Sakura: The Sealed Card', 'Black Magic M-66', 'Planet Earth', 'The Cutting Edge: The Magic of Movie Editing', 'Willow and Wind']"
Ecstasy of Order: The Tetris Masters,"['Catwalk', 'Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream']"
Five,"['Standing Tall', 'The Country Doctor', 'Happiness Is in the Field', 'Intimacy', 'Wild Life']"
The Zodiac Killer,"['The Private Eyes', 'Opera', 'Resolution', 'RangiTaranga', 'Khamosh']"
Cop Dog,"['Napoleon and Samantha', 'A Little Game', 'Legends of the Hidden Temple', 'Kim Possible: A Sitch in Time', 'Raiders of the Lost Ark - The Adaptation']"
Robo-Dog,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
Pelli Choopulu,"['Ghajini', 'Worth Winning', 'A Good Woman', 'Chhoti Si Baat', 'Pie in the Sky']"
Sidetracked,"['The Phone Box', 'The Beehive', 'The Holy Innocents', 'Bad Education', 'The Secret Nation']"
Rustom,"['The Last Seduction II', 'Noise', 'Cold Heart', 'Zid', 'Buddy Boy']"
Tiny Giants 3D,"['One Life', 'Unity', 'Louis Theroux: The Most Hated Family in America', ""Louis Theroux: America's Most Hated Family in Crisis"", 'Bitter Lake']"
One More Time with Feeling,"['The Possibilities Are Endless', 'When Bjork Met Attenborough', 'All These Sleepless Nights', 'Message to Love: The Isle of Wight Festival', 'Buena Vista Social Club']"
The Seventh Fire,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
Kubo and the Two Strings,"['The Boxtrolls', 'ParaNorman', 'Coraline', 'The Journey to Melonia', 'Back to School with Franklin']"
The Spirit of '45,"['Oranges and Sunshine', 'Tickets', ""Jimmy's Hall"", 'Route Irish', 'My Own Man']"
Down by Love,"['The Man of My Life', 'The Goodbye Kiss', 'Mr. Nobody', 'The Heir Apparent: Largo Winch', 'Gangsters']"
Keeping Rosy,"['On the Run', 'Century of the Dragon', 'Who Killed Bambi?', 'Shifty', 'Monga']"
Bridget Jones's Baby,"['Elizabeth: The Golden Age', 'Love Actually', 'Fifty Shades Darker', 'The Piano in a Factory', 'Senna']"
The Light Between Oceans,"['Hollywood Ending', 'The Last Castle', 'Small Time Crooks', 'Amistad', 'People Like Us']"
Queen of Katwe,"['Glory Road', 'Million Dollar Arm', 'Cool Runnings', ""Squanto: A Warrior's Tale"", ""Wild Hearts Can't Be Broken""]"
Deepwater Horizon,"['Patriots Day', 'Man on a Ledge', 'Contraband', 'Entourage', 'RED 2']"
Miss Peregrine's Home for Peculiar Children,"['The Heat', 'Rise of the Planet of the Apes', 'The Secret Life of Walter Mitty', 'Dawn of the Planet of the Apes', 'The Wolverine']"
The Girl on the Train,"['Bridge of Spies', 'Scott Pilgrim vs. the World', 'Charlie St. Cloud', 'Empire Falls', 'Honey']"
Middle School: The Worst Years of My Life,"['Robin Williams: Weapons of Self Destruction', 'Last Call at the Oasis', 'Ivory Tower', 'Merchants of Doubt', 'Page One: Inside the New York Times']"
The Accountant,"['A Family Man', 'Levitated Mass', 'The Man from U.N.C.L.E.', 'Run All Night', 'Storks']"
Kevin Hart: What Now ?,"['Kevin Hart: Let Me Explain', 'Lil Rel: RELevent', 'Kevin Hart: Laugh at My Pain', 'Bowfinger', 'The Dream Team']"
It's Hard Being Loved by Jerks,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Writer of O,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Remember You,"['The Gifted Hands', 'A Moment to Remember', ""Whatcha Wearin'?"", 'Love Forecast', 'Like for Likes']"
Sanam Teri Kasam,"['Vicky Donor', 'Tanu Weds Manu Returns', 'Ki and Ka', 'English Vinglish', 'Desi Boyz']"
Phantom of the Theatre,"['The Era of Vampires', 'A Chinese Ghost Story III', 'A Chinese Ghost Story II', 'New Dragon Gate Inn', 'Brimstone & Treacle']"
Like for Likes,"['Like for Likes', ""Whatcha Wearin'?"", 'A Moment to Remember', 'Barking Dogs Never Bite', 'A Man Who Was Superman']"
High Strung,"['Silent Wedding', 'Keine Lieder über Liebe', 'A Princess for Christmas', 'The Idolmaker', 'Pure Country']"
Arisan!,"['Arisan! 2', ""Joni's Promise"", 'The Broken Landlord', 'Skylab', 'The Pearl Color']"
Time Renegades,"['The Chronicles of Evil', 'Blood and Ties', 'A Moment to Remember', 'Love Forecast', 'Like for Likes']"
Phantom Detective,"['A Werewolf Boy', 'The Chaser', 'Ten Benny', 'Fighter In The Wind', 'The Trial of Billy Jack']"
Arisan! 2,"['Arisan!', ""Joni's Promise"", 'The Pearl Color', 'Gods', 'The Art of Loving. Story of Michalina Wislocka']"
Baaghi,"['Anjaana Anjaani', 'Rangoon', 'Tamasha', '2 States', 'Paap']"
Detective Chinatown,"['The Great Match', 'Cantábrico: Los dominios del oso pardo', 'A Friend Is a Treasure', 'Billy Jack', 'The Snow Walker']"
Gentleman,"['The Last Seduction II', 'Noise', 'Cold Heart', 'Zid', 'A Man with Warranty']"
Hockney,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Ki and Ka,"['Tanu Weds Manu Returns', 'Ki and Ka', 'Sanam Teri Kasam', 'Desi Boyz', 'English Vinglish']"
Mohenjo Daro,"['Jodhaa Akbar', 'Swades: We, the People', 'The Lunchbox', 'Barfi', 'I Hate Luv Storys']"
Catatan (Harian) Si Boy,"['More Than Blue', 'The End of the Affair', 'Ali', 'Hard Times', 'Ice Castles']"
Our Last Tango,"['Catwalk', 'Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream']"
Spirits' Homecoming,"['The Emperor and the Assassin', 'Die weisse Rose', 'Joan of Arc', 'Blame It on Fidel!', 'John Adams']"
The First Monday in May,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Lady Day at Emerson's Bar & Grill,"['The Commitments', 'The Night the Lights Went Out in Georgia', 'La traviata', 'Into the Woods', 'Vitus']"
Death of a Shadow,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
In Search of the Ultra-Sex,"[""L'associé"", 'Dream with the Fishes', 'All I Wanna Do', ""God Said, 'Ha!'"", 'Stiff Upper Lips']"
A Quiet Passion,"['Sunset Song', 'The Whistleblower', 'Night of Something Strange', 'Miracle in Cell No. 7', 'Eisenstein in Guanajuato']"
The Whole Truth,"['American Ultra', 'Synecdoche, New York', 'Indignation', 'Sleep Dealer', 'Collateral Beauty']"
American Honey,"['My Ain Folk', 'Winstanley', 'My Childhood', 'Caravaggio', 'The Selfish Giant']"
The Houses Are Full of Smoke,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
My Class,"[""Don't Be Bad"", 'Paradise Lost: The Child Murders at Robin Hood Hills', 'The Eyes of Tammy Faye', 'Aileen: Life and Death of a Serial Killer', 'The Five Obstructions']"
Deon Cole: Cole-Blooded Seminar,"['Paul F. Tompkins: Crying and Driving', 'Kyle Kinane: Loose in Chicago', 'Snow Falling on Cedars', 'Dirty Lies', 'The Spiderwick Chronicles']"
Artie Lange: The Stench of Failure,"['Daniel Tosh: Happy Thoughts', 'Artie Lange: The Stench of Failure', 'Chris Hardwick: Mandroid', 'John Mulaney: The Comeback Kid', 'Hannibal Buress: Animal Furnace']"
Il pretore,"['Trees Lounge', 'Bob Roberts', 'The Acid House', 'The Adventures of Sebastian Cole', 'Portraits Chinois']"
The 13 Roses,"['Dark Blue Almost Black', 'Witching & Bitching', 'Nazareno Cruz and the Wolf', 'The Flower with Petals of Steel', 'Cría Cuervos']"
Hieronymus Bosch: Touched by the Devil,"['Tonio', 'Old Joy', 'Fist Fight', ""Bill Hicks: It's Just a Ride"", ""The Munsters' Revenge""]"
Toomelah,"['Australian Rules', 'Silent Nights', 'The Beat That My Heart Skipped', 'Falling in Love Again', 'Beloved']"
Scarlett,"['One Deadly Summer', 'The Inquisitor', 'Angel-A', 'Hunting and Gathering', 'It Boy']"
Cambio de Ruta,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
Idlers of the Fertile Valley,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
How to Get Rid of the Others,"['The Boss of It All', 'Clash of Egos', 'The Inheritance', 'Brothers', 'After the Wedding']"
No Budget Story,"['No Budget Story', 'Northfork', 'The Five People You Meet In Heaven', 'OzLand', 'Hibernation']"
People in the Sun,"['Trees Lounge', 'Bob Roberts', 'The Acid House', 'The Adventures of Sebastian Cole', 'Portraits Chinois']"
Imperium,"['Rabid Dogs', 'The Continent', ""L'agression"", 'One Eight Seven', 'Payback: Straight Up']"
Blush,"['Yossi & Jagger', 'Time of Favor', 'Yossi', 'Walk on Water', 'Fill the Void']"
The Wounded Angel,"['The Death of Louis XIV', 'Birdsong', 'Apprentice', 'Story of My Death', 'As Far As My Feet Will Carry Me']"
Road to Istanbul,"['Outside Satan', 'Hadewijch', 'House of Tolerance', ""Playing 'In the Company of Men'"", 'The Attack']"
David Brent: Life on the Road,"['A Long Way Down', 'A Long Hot Summer', 'Hamlet 2', 'Fight for Your Right Revisited', 'Let My Puppets Come']"
Steel Frontier,"['To Be the Best', 'A Dangerous Place', 'Backyard Dogs', 'Hooked on the Game', 'Portal: No Escape']"
Marock,"['Country Life', 'Flirt', 'Venice', 'The Whole Wide World', 'Full Speed']"
Horses of God,"['Much Loved', 'Ali Zaoua: Prince of the Streets', 'Australian Rules', 'Silent Nights', 'The Beat That My Heart Skipped']"
Louis C.K.: One Night Stand,"[""L'associé"", 'Dream with the Fishes', 'All I Wanna Do', ""God Said, 'Ha!'"", 'Stiff Upper Lips']"
The Country Doctor,"['Hippocrates', 'Five', 'Hideaway (Le refuge)', 'Mr & Mme Adelman', 'Standing Tall']"
Lost Songs: The Basement Tapes Continued,"['Message to Love: The Isle of Wight Festival', 'Buena Vista Social Club', 'The Decline of Western Civilization Part II: The Metal Years', 'Down from the Mountain', 'Imagine: John Lennon']"
26 Years,"['The Host', 'Some Folks Call It a Sling Blade', 'Love Walked In', 'Little Boy Blue', 'Light It Up']"
I Am Not a Serial Killer,"['Eliminators', 'Revolt', 'Seven Days', 'Morvern Callar', 'The Big Store']"
Frankie Boyle - Live - The Last Days of Sodom,"['The Inbetweeners 2', 'Frankie Boyle - Live - The Last Days of Sodom', 'Micky Flanagan: Live - Back In The Game Tour', 'Riff-Raff', 'We Think the World of You']"
Fascisti su Marte,"['La vita facile', 'Loose Cannons', 'It Was the Son', 'Samsara', ""L'imbalsamatore""]"
"Dave Attell: Hey, Your Mouth's Not Pregnant!","[""L'associé"", 'Dream with the Fishes', 'All I Wanna Do', ""God Said, 'Ha!'"", 'Stiff Upper Lips']"
The Best of Insomniac with Dave Attell Volume 1,"['Comedy Central Roast of James Franco', 'Comedy Central Roast of Charlie Sheen', 'Comedy Central Roast of Donald Trump', 'Comedy Central Roast of Pamela Anderson', ""Gabriel Iglesias: I'm Not Fat... I'm Fluffy""]"
The Barber of Rio,"[""L'associé"", 'Dream with the Fishes', 'All I Wanna Do', ""God Said, 'Ha!'"", 'Stiff Upper Lips']"
On the Dark Continent,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
Puerto Escondido,"['House of Cards', 'Who Can Kill a Child?', ""I'm Not Scared"", 'The Sect', 'Folks!']"
On tour,"[""L'associé"", 'Dream with the Fishes', 'All I Wanna Do', ""God Said, 'Ha!'"", 'Stiff Upper Lips']"
Marrakech Express,"['The Big Chill', 'Big Daddy', '28 Days', 'Postcards from the Edge', 'Only When I Laugh']"
I Carabbinieri,"['Little Italy', 'Kidnap Syndicate', 'Assassination on the Tiber', 'The Cop in Blue Jeans', 'Stefano Quantestorie']"
In the Pope's Eye,"['Un fantastico via vai', 'I Am Love', 'My Sister and I', 'Bakhita', 'Drifters']"
These Daughters of Mine,"['Anioł w Krakowie', 'Lincz', 'All Will Be Well', 'Angelus', 'Reverse']"
P & B,"['The Adventures of Picasso', 'The Man Who Quit Smoking', 'False as Water', 'The Emigrants', 'The Children of Noisy Village']"
The Serpent's Way,"['The Man on the Roof', 'The Slingshot', 'P & B', 'False as Water', 'The Adventures of Picasso']"
The Ox,"['Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land', 'Bye-Bye']"
As If I Am Not There,"['Dorothy Mills', 'Triage', 'Mission London', 'Black Book', 'Sex & Drugs & Rock & Roll']"
Puppet on a Chain,"['A Better Tomorrow II', 'Echoes of the Rainbow', 'A Chinese Ghost Story', 'Repo Man', 'The Untold Story']"
Kizumonogatari Part 1: Tekketsu,"['Puella Magi Madoka Magica the Movie Part III: Rebellion', 'Kizumonogatari Part 2: Nekketsu', 'Kizumonogatari Part 3: Reiketsu', 'Puella Magi Madoka Magica the Movie Part I: Beginnings', 'Puella Magi Madoka Magica the Movie Part II: Eternal']"
Broken Blade: Book One - The Time of Awakening,"['Broken Blade: Book Two - The Split Path', 'The Painting', 'The Disappearance of Haruhi Suzumiya', 'Marvel Super Hero Adventures: Frost Fight!', 'Blood Tea and Red String']"
Broken Blade: Book Two - The Split Path,"['Marvel Super Hero Adventures: Frost Fight!', 'Blood Tea and Red String', 'The Art of Happiness', 'Spring and Chaos', 'Jungle de Ikou']"
Broken Blade: Book Six - Enclave of Lamentations,"['Patlabor 2: The Movie', 'Broken Blade: Book Six - Enclave of Lamentations', 'The Cathedral', 'Zone of the Enders: Idolo', 'Tamala 2010: A Punk Cat in Space']"
Steins;Gate: The Movie − Load Region of Déjà Vu,"['King of Thorn', 'Beyond the Clouds', 'Vampire Hunter D', 'Vampire Hunter D: Bloodlust', 'Gantz:O']"
Cuisine et dépendances,"['Out of It', 'You Are So Beautiful', 'The Brats', 'The Return of the Tall Blond Man with One Black Shoe', ""L'agression""]"
Ajin: Demi-Human - Compel,"['Blame!', 'Tidal Wave', 'Mezzo Forte', 'Quest', 'Kiwi!']"
Psycho-Pass: The Movie,"['Psycho-Pass: The Movie', 'Ghost in the Shell: The New Movie', 'Ghost in the Shell: Stand Alone Complex - Solid State Society', 'Iria: Zeiram the Animation', 'Patlabor 2: The Movie']"
Wonder Women!: The Untold Story of American Superheroines,"['Unzipped', 'The Endless Summer 2', 'The Gate of Heavenly Peace', 'American Dream', 'Paris is Burning']"
Shell,"['The Boys of St. Vincent', 'Virgin Mary', 'Red Firecracker, Green Firecracker', 'A Very Natural Thing', 'Lotto Land']"
Hands of Stone,"['Sicko', 'Silver Linings Playbook', 'Transamerica', 'Harsh Times', 'Blood Wedding']"
Gun Hill,"['Azumi 2: Death or Love', 'Snake-Crane Secret', 'Invisible Target', 'Aakrosh', 'The Shaolin Temple']"
Uncle P,"['Karachi se Lahore', 'Two Heads Are Better Than None', 'How To Frame A Figg', 'Uncle P', 'Snow']"
The Fits,"['28 Hotel Rooms', 'After Tiller', 'These Birds Walk', 'The Messenger', 'We Need to Talk About Kevin']"
Morris from America,"['People, Places, Things', 'Tig', 'Age of Cannibals', 'Frau Ella', 'Momentum']"
Figli – Hijos,"['Jumanji', 'Grumpier Old Men', 'Waiting to Exhale', 'Heat', 'Sabrina']"
The Lost Honour of Christopher Jefferies,"['Le Week-End', 'The 7:39', 'Salting the Battlefield', 'Turks & Caicos', 'Page Eight']"
Arianna,"['Pushing Hands', 'The Pearl Color', 'Gods', 'The Art of Loving. Story of Michalina Wislocka', 'The Wedding Banquet']"
Sky,"['Above Us Only Sky', 'Holy Motors', 'Le Week-End', 'To Get to Heaven First You Have to Die', 'Far North']"
The Triple Echo,"['Prisoner of the Mountains', 'Fateless', 'Taistelu Näsilinnasta 1918', 'War Witch', 'Unfair Competition']"
